                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3998,                 2.8122,                 3.1162,                      0,                      0,                      0,                      0,                 5.4293,                 3.1105,                 3.1201,                      0,                      0,                      0
                      2,                 2.9666,                 2.7896,                 2.5673,                      0,                      0,                      0,                      0,                 5.4081,                 3.1082,                 3.0982,              1.802e-05,              1.802e-05,              1.802e-05
                      3,                 3.8548,                 3.2421,                 3.0253,                      0,                      0,                      0,                      0,                 5.3846,                 3.1037,                  3.029,              3.208e-05,              3.208e-05,              3.208e-05
                      4,                 3.4137,                 3.0084,                 2.5934,                      0,                      0,                      0,                      0,                 5.3563,                 3.1008,                 2.9718,              4.218e-05,              4.218e-05,              4.218e-05
                      5,                 3.6663,                 3.3748,                  2.932,                      0,                      0,                      0,                      0,                 5.3003,                 3.0927,                 2.8294,              4.832e-05,              4.832e-05,              4.832e-05
                      6,                 2.8498,                 3.0753,                 2.1452,                      0,                      0,                      0,                      0,                 5.3041,                 3.0911,                 2.7617,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                 2.9644,                 2.9299,                 2.4634,                      0,                      0,                      0,                      0,                 5.3058,                 3.0923,                 2.7463,              4.872e-05,              4.872e-05,              4.872e-05
                      8,                 2.7431,                 2.8128,                 2.3422,                      0,                      0,                      0,                      0,                 5.2969,                 3.0898,                 2.6966,              4.298e-05,              4.298e-05,              4.298e-05
                      9,                 2.5045,                 2.8389,                   2.06,                      0,                      0,                      0,                      0,                  5.233,                 3.0789,                 2.6063,              3.328e-05,              3.328e-05,              3.328e-05
                     10,                    2.2,                 2.8761,                 1.8148,                      0,                      0,                      0,                      0,                 5.1979,                 3.0728,                 2.5825,              1.962e-05,              1.962e-05,              1.962e-05
